,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
TAOP,2.77,2.77,2.676428,2.7699,2.77,2.9902856,2.77,0.876254,2.67,,1.4713646,2.67,2.73,,1.86,2.7,2.7699,2.649,-0.25975,0.753,0.0114,0.00555,-0.54,3.6254978,0.42198002,0.11,,0.0191,2.77,,-27.737,,,,,,,,
HWCC,2.82,2.76,2.4730713,2.855,2.82,2.6511428,2.76,1.563545,2.67,,0.1390012,2.67,2.93,4.73,1.67,2.68,2.855,0.427,-0.00942,6.193,0.006,0.76277,-0.191,0.43113196,0.07473,7.37,,0.0075,2.76,4.8545456,26.728,0.55,,,,,,,
ATI,9.74,9.77,9.1214285,10.09,9.74,8.918571,9.77,1.772017,9.53,,0.3231767,9.53,9.63,24.17,4.95,9.6,10.09,0.586,-0.062179998,13.684,0.0867,1.08501,-1.855,0.7008185,0.0065200003,4.61,,0.11270001,9.77,-38.36,5.849,-0.25,4.22,,,,,,
CEQP,13.76,13.67,11.799857,13.99,13.76,14.114,13.67,4.130434,13.49,,0.3766905,13.49,13.69,39.54,2.65,13.66,13.99,1.683,-0.00262,15.388,0.0555,0.71969,-0.914,0.8948532,0.07384,5.13,,0.0699,13.67,1377.0001,10.459,0.01,-2.15,0.17986917,2.475,,2.5,14.94,0.1817
PRPO,2.11,2.12,1.4300071,2.23,2.11,2.6345716,2.12,3.262399,2.12,,8.920514,2.12,2.22,,0.55,2.17,2.23,8.99,-2.7857902,0.863,0.071100004,0.026080001,-1.734,2.5144844,0.01352,0.27,,0.0719,2.12,,-4.313,-0.31,-0.1,,,,,,
TGI,8.57,8.71,7.7550716,,8.57,7.2965713,8.71,2.636566,8.5701,,0.1805476,8.5701,9.42,29.38,3.02,9.3,,0.729,-0.121400006,-20.141,0.0624,1.03813,-6.35,,0.01481,2.05,,0.105,8.71,20.533333,7.841,0.45,1.59,0.014002334,0.12,,0.16,0.78,0.0187
AMRS,2.89,2.93,3.3967857,3.1,2.89,3.434,2.93,0.459866,2.8,,4.2961516,2.8,2.89,6.07,1.4,2.8,3.1,4.523,-2.50105,-0.329,0.1065,0.32551,-2.269,,0.26301,9.4,,0.221,2.93,-8.828125,-4.506,-0.32,-0.08,,,,,,
TK,2.5,2.49,2.7820714,2.53,2.5,2.5565715,2.49,1.41806,2.43,,0.123122245,2.43,2.5,5.76,2.04,2.42,2.53,2.969,-0.10469,5.232,0.0279,0.41397,-2.13,0.47782877,0.31687,4.09,,0.051599998,2.49,5.8139534,7.626,0.43,,0.022,0.055,,,,
NRP,,11.99,12.010643,12.42,,10.828286,11.99,0.565217,11.82,,0.96228546,11.82,13.11,27.78,8.5,,12.42,4.502,-1.18981,16.644,0.004,0.37723,-18.493,0.7209806,0.21556999,1.51,,0.0069,11.99,4.2105265,6.155,2.85,,0.112500004,1.35,,1.8,11.66,0.15
GOGL,3.56,3.47,3.603643,3.53,3.56,3.91,3.47,1.643812,3.45,,0.6907804,3.45,3.52,6.49,2.52,3.46,3.53,2.431,-0.17368001,9.101,0.0063,0.2715,-0.871,0.380178,0.36176997,4.26,,0.0099,3.47,8.871796,9.942,0.39,111.25,0.056179777,0.2,,0.2,,0.056199998
NRT,3.12,3.1,3.3725,3.1327,3.12,3.25,3.1,1.473801,,6.032064,5.15416,,3.2,6.65,2.19,2.94,3.1327,4.92,0.85403,0.047,0.0008,0.101689994,0.499,64.04256,0.00616,0.14,-0.368,0.0008,3.1,,,,,0.1474359,0.46,1.1633,0.44,11.92,0.141
LOV,4.63,4.51,3.7357857,4.62,4.63,4.9991426,4.51,2.190723,4.31,,,4.31,4.42,6.75,1.8,4.31,4.62,,-0.05268,1.896,0.00090000004,0.4509,-0.677,2.3259492,0.20819001,0.18,,,4.51,15.749999,,0.28,,,,,,,
VHI,15.04,15.23,,15.3453,15.04,12.482857,15.23,2.246376,14.8285,11.233082,0.23951015,14.8285,15.47,,9.02,14.94,15.3453,1.364,0.022230001,-1.157,0.00090000004,0.02918,1.33,,0.91550004,0.97,,0.0105,15.23,4.16156,14.221,3.59,0.88,0.05319149,0.8,0.60150003,0.32,3.78,0.021300001
CDOR,4.11,4.15,4.4302144,4.18,4.11,4.366,4.15,2.308807,,,1.1262167,,4.55,11.2,2.76,,4.18,5.131,-0.27938998,6.362,0.0017,0.56112,-1.151,0.65702605,0.30508,1.26,,0.0038,4.15,-7.8867927,30.64,-0.53,-0.19,0.047445253,0.195,,0.78,,0.1733
PLM,3.7,3.75,3.353143,4.08,3.7,3.9954286,3.75,0.572674,3.7428,,,3.7428,3.9,9.7,1.5,3.92,4.08,,,3.72,0.002,0.0110599995,-0.641,1.045699,0.72121,0.34,,0.0022,3.75,-129.66667,-25.9,-0.03,-1.99,,,,,,
TEVA,9.29,9.35,10.7035,9.51,9.29,10.259429,9.35,1.501672,9.25,2369.9998,0.6186056,9.25,9.49,13.76,6.25,9.5,9.51,2.078,0.00024000001,12.642,0.021,0.54671,0.004,0.7498813,0.00603,3.08,,,9.35,3.6045625,7.516,2.63,1.16,,,,,,
NWG,2.59,2.52,3.04,2.52,2.59,2.8622856,2.52,1.574096,2.465,,,2.465,2.49,,2.465,2.46,2.52,,0.08288,,0.0002,0.00607,,,,1.26,,,2.52,,,,,,,0.6016,,,
CAPR,5.89,5.78,4.508,6.57,5.89,5.936,5.78,6.935897,5.32,,182.85863,5.32,5.36,12.32,0.88,5.52,6.57,96.63,,1.607,0.0975,0.03692,-1.149,3.4598632,0.09214,0.77,,0.1,5.78,-5.9784946,-6.774,-0.93,,,,,,,
CRT,6.06,6.04,6.3419285,6.17,6.06,6.1957145,6.04,1.053511,5.95,6.715084,5.797187,5.95,6.08,9.5,4.01,6.01,6.17,5.894,0.88984,1.289,0.0023,0.08445,0.895,4.662529,,0.58,-0.355,0.0023,6.04,,,,,0.14768977,0.895,,0.46,9.08,0.075100005
SAN,2.09,2.03,2.3507142,2.04,2.09,2.1982858,2.03,1.43253,1.99,4.1908712,,1.99,2.04,4.42,1.9,2.01,2.04,,-0.20732,6.862,0.0007,0.01794,0.482,0.29437482,,1.39,,,2.03,4.2083335,,0.48,,0.105741635,0.221,,,5.26,
ARR,9.96,9.92,9.497143,9.97,9.96,9.694858,9.92,1.059085,9.745,,-2.3606498,9.745,9.95,21.15,4.95,9.79,9.97,-17.238,,13.159,0.045,0.61317,-5.31,0.750057,0.01602,3.48,,0.0546,9.92,7.651163,,1.29,-2.58,0.1626506,1.62,,1.2,13.71,0.1205
YRCW,4.37,4.36,2.453,4.5,4.37,4.088,4.36,3.406911,4.18,,0.04872248,4.18,4.45,5.65,1.29,4.24,4.5,0.254,-0.013990001,-8.763,0.0222,0.72029996,-1.912,,0.13078,0.47,,0.0249,4.36,-16.72,7.893,-0.25,-0.04,,,,,,
ZVO,4.23,4.21,3.0202856,4.34,4.23,4.8865714,4.21,1.727424,4.01,,0.3829861,4.01,4.5,7.239,1.08,4.02,4.34,0.224,-0.05817,3.485,0.0126,0.69679,-0.764,1.2367289,0.07439,0.31,,0.013099999,4.21,10.261905,25.599,0.42,1.76,,,,,,
PTR,32.7,32.8,34.807213,32.8,32.7,34.206856,32.8,0.931927,32.17,7.3409085,,32.17,32.31,53.55,27.74,32.3,32.8,,-0.00566,101.1,0.0002,0.01975,4.4,0.31948566,,3.17,,,32.8,43.066666,,0.75,,0.00042813455,0.014,,2.53,2.88,0.0773
IVC,7.22,7.28,6.6932144,7.78,7.22,6.986,7.28,1.231326,7.2,,0.29322225,7.2,7.26,11.63,3.9,7.24,7.78,0.484,-0.04823,8.778,0.153,1.13673,-1.268,0.83732057,0.03716,14.62,,0.1868,7.28,-91.875,18.186,-0.08,-1.03,0.005124654,0.037,,,0.5,
NS,12.03,11.98,13.220858,12.01,12.03,13.708858,11.98,2.449832,11.57,,0.8626665,11.57,12.83,29.49,4.98,11.18,12.01,4.027,0.0055199997,6.472,0.0121,0.65557,-1.247,1.8433251,0.1019,1.86,-0.352,0.0176,11.98,14.728395,8.316,0.81,-1.84,0.16625105,,,1.6,11.77,0.1328
MT,13.74,13.37,10.792786,14.15,13.74,12.292,13.37,2.114457,13.5717,,0.2570641,13.5717,14.09,18.89,6.64,13.85,14.15,0.407,-0.07073,32.727,0.0069999998,0.033889998,-3.944,0.42319795,,2.09,,,13.37,11.939656,10.857,1.16,-0.04,0.014556041,0.2,,,,
BKCC,2.58,2.61,2.7259285,2.65,2.58,2.7534285,2.61,1.580824,2.55,,2.4679089,2.55,2.61,5.2,1.47,2.52,2.65,6.636,-1.33849,4.838,0.0070999996,0.37702,-1.476,0.547747,0.01351,1.27,,0.0072000003,2.61,5.3,,0.5,1.65,0.20155038,0.52,,0.4,12.3,0.1521
BBVA,2.83,2.75,3.2265,2.765,2.83,2.955143,2.75,1.349397,2.7,3.8022285,,2.7,2.73,5.8,2.64,2.71,2.765,,-0.00475,8.082,0.0004,0.02459,0.718,0.3377877,,0.78,-0.503,,2.75,4.47541,,0.61,,0.10282686,0.291,,0.47,5.71,0.16549999
TWI,3.34,3.36,1.7072858,3.59,3.34,2.434,3.36,2.1767,3.26,,0.16385482,3.26,3.45,4.01,1.05,3.3,3.59,0.527,-0.05842,2.894,0.0505,0.83171,-1.243,1.1852108,0.04987,7.28,,0.074099995,3.36,,53.405,-0.07,-0.19,0.004491018,0.015,,0.02,0.43,0.0062
AP,3.26,3.22,3.0965714,3.33,3.26,3.3408573,3.22,1.380713,3.13,14.5412855,0.11471548,3.13,3.17,4.5,1.94,3.13,3.33,0.258,0.008,4.214,0.0364,0.58504003,0.218,0.75225437,0.19326,3.28,,0.0674,3.22,-35.22222,3.417,-0.09,,,,,,,
DVAX,5.64,5.69,5.7805,5.8,5.64,6.44,5.69,0.957079,5.35,,18.318512,5.35,5.51,12.44,1.8,5.42,5.8,16.321,,0.532,0.1568,0.73915,-1.61,10.206766,0.01149,3.51,,0.21,5.69,-8.353847,-7.303,-0.65,,,,,,,
BB,4.73,4.76,4.5620713,4.89,4.73,4.909714,4.76,1.027616,4.68,,2.7044172,4.68,4.86,7.53,2.7,4.84,4.89,2.478,-0.75375,3.443,0.043899998,0.55706,-1.394,1.4115597,0.01997,7.83,,0.0512,4.76,37.384617,46.714,0.13,-3.09,,,,,,
EGLE,19.73,19.92,15.1785,23.3244,19.73,18.164001,19.92,1.193422,19.7,,0.9234866,19.7,22.48,34.16,8.89,22.77,23.3244,2.315,-0.14332,6.35,0.0664,0.86507004,-0.555,3.664567,0.02296,19.1,,0.1682,19.92,93.08,21.995,0.25,-0.09,,,,,,
CPST,4.23,4.21,2.8462858,4.2347,4.23,4.5462856,4.21,2.14437,4.01,,0.75494593,4.01,4.92,,,4.06,4.2347,0.963,-0.2838,1.168,0.012999999,0.11527,-2.027,3.5530822,0.02498,0.55,,0.013200001,4.21,-5.845071,-5.47,-0.71,-0.19,,,,,,
OPHC,2.44,2.38,2.4276428,2.59,2.44,2.5905714,2.38,0.806577,2.33,,2.3142586,2.33,2.58,5.4,1.68,2.33,2.59,2.624,-0.35694999,3.279,0.0028,0.00075999997,-0.489,0.7898749,0.26663,0.07,,0.0034,2.38,,,,,,,,,,
EZPW,5.15,5.21,5.2918572,5.255,5.15,5.5494285,5.21,1.644927,5.085,,0.3277657,5.085,5.12,7.1,3.41,5.18,5.255,0.506,-0.052589998,12.347,0.14140001,0.9789,-0.826,0.4195351,0.05598,17.21,,0.25030002,5.21,7.507246,6.757,0.69,3.32,,,,,,
GHL,12.32,12.38,10.479714,12.49,12.32,11.803143,12.38,1.101449,12.13,16.201044,0.8138715,12.13,19.83,23.08,7.28,12.4,12.49,2.015,0.057129998,0.713,0.0495,0.74068,0.766,17.405329,0.25456,6.82,,0.0799,12.38,12.287128,,1.01,-0.27,0.016233766,0.2,0.47619998,0.2,4.85,0.0162
GEOS,6.33,6.34,6.8125715,6.37,6.33,6.782857,6.34,2.051282,6.14,,0.89079565,6.14,7.94,17.66,4.61,6.13,6.37,0.609,-0.0704,12.036,0.0111,0.86941004,-0.498,0.5159521,0.0421,3.26,,0.0154,6.34,15.525,5.015,0.4,,,,,,,
UEPS,3.1,3.06,3.2995,3.2,3.1,3.2565715,3.06,,3.09,,1.2028564,3.09,3.17,4.45,2.7,3.16,3.2,-0.121,-0.51894003,5.076,0.0083,0.5334,-1.37,0.6245075,0.21054001,4.84,,0.0148,3.06,79.25,0.554,0.04,-0.23,,,,,,
CTL,,10.85,10.210719,11.11,,10.777647,10.85,1.017279,10.84,9.795191,0.54829645,10.84,,15.3,8.16,,11.11,2.03,0.055219997,12.27,0.1047,0.78272,1.123,0.89649546,0.00789,8.6,0.016,0.1192,10.85,8.148148,5.148,1.35,5.43,0.09090909,,0.885,,10.27,0.090900004
NTWK,2.89,2.95,2.810857,2.99,2.89,3.0022857,2.95,0.525083,2.84,10.611511,0.5910533,2.84,2.98,6.45,,2.8,2.99,0.609,0.0542,4.879,0.0032,0.31232,0.278,0.6046321,0.14442,1.02,-0.21,0.0037,2.95,7.7631583,7.731,0.38,,,,,,,
CVE,4.3,4.29,4.0527143,4.31,4.3,4.7014284,4.29,3.460755,4.154691,,,4.154691,4.22,10.52,1.41,4.21,4.31,,-0.11021,11.393,0.0163,0.65529,-0.424,0.3712806,0.17066,4.9,,,4.29,,,0.47,0.62,0.03488372,0.15,,,2.41,
SWN,2.41,2.43,2.613143,2.56,2.41,2.7342858,2.43,1.531215,2.39,,0.6225149,2.39,2.45,3.9,1.06,2.44,2.56,1.613,-0.95174,1.52,0.1193,1.18292,-4.2,1.6118422,0.00603,3.83,,0.23809999,2.43,4.298246,4.941,0.57,-0.55,,,,,,
RRC,7.68,7.76,5.7824287,8.045,7.68,7.739143,7.76,2.824414,7.6118,,1.0069884,7.6118,7.79,9.37,1.61,7.66,8.045,2.462,-0.92723,9.966,0.1542,1.15556,-7.471,0.78065425,0.01986,6.29,,0.2352,7.76,10.657535,9.077,0.73,36.24,0.0052083335,0.04,,,0.8,
MGI,3.09,3.06,2.4884999,3.1216,3.09,3.218857,3.06,2.409698,2.965,,0.15639499,2.965,,4.92,1.15,2.99,3.1216,0.92,-0.03756,-3.705,0.0326,0.31073,-0.594,,0.124680005,1.07,,0.0337,3.06,15.736842,5.496,0.19,0.45,,,,,,
SJT,2.705,2.67,2.4666429,2.72,2.705,2.7014287,2.67,0.571906,2.67,23.893806,17.991297,2.67,2.71,3.39,1.39,2.7,2.72,16.664,0.75528,0.111,0.0047,0.14848,0.113,24.324324,0.051810004,2.21,-0.707,0.0047,2.67,,,,,0.041774493,0.113,,,8.5,
CBIO,4.84,4.93,5.640714,5.21,4.84,5.096857,4.93,2.195652,4.75,,6.2688885,4.75,5.18,8.94,3.43,4.97,5.21,-0.855,-2.64187,4.941,0.0646,0.53988,-3.368,0.9755111,0.0559,6.59,,0.0651,4.93,-1.4695122,0.311,-3.28,0.07,,,,,,
ABIO,5.07,5.07,5.3225,5.24,5.07,5.613143,5.07,2.893534,4.99,,,4.99,5.24,,2.21,5.18,5.24,,,4.545,0.0114,0.13283,-3.074,1.1397139,0.00569,0.08,,0.0114,5.07,-0.58863634,-3.047,-8.8,,,,,,,
TNP,9.04,9.03,11.620929,9.1,9.04,8.806,9.03,0.556856,8.77,,0.26292595,8.77,8.89,23.85,8.1,8.84,9.1,2.263,0.03991,76.558,0.028499998,0.30915,-0.994,0.11507616,0.31143,5.09,0.89,0.0431,9.03,2.0778303,5.33,4.24,0.22,0.055309735,0.5,,0.5,4.85,0.0553
CLF,6.68,6.7,5.217143,7.315,6.68,6.209429,6.7,2.413043,6.7,,1.091649,6.7,6.99,9.02,2.63,6.93,7.315,2.881,-0.0086199995,1.986,0.22620001,0.61949,-0.071,3.4994965,0.0156,10.75,,0.278,6.7,13.365385,22.295,0.52,27.09,0.026946109,0.18,,0.24,,0.0359
SNOA,7.57,8.28,6.4777856,9.49,7.57,7.9262857,8.28,0.849498,7.6,,0.73195195,7.6,8.26,19.6,3.33,8.02,9.49,0.537,-0.12236,5.801,0.016900001,0.106759995,-1.663,1.3618342,0.01437,0.2,0.389,0.017,8.28,-6.0305347,-2.69,-1.31,,,,,,,
SBLK,6.975,6.98,6.261643,7.22,6.975,6.932286,6.98,1.125975,6.93,,0.8494687,6.93,7.12,12.09,3.86,6.86,7.22,2.6,-0.014989999,15.593,0.0218,0.65073997,-0.126,0.45597383,0.19323999,5.23,,0.0379,6.98,6.583333,11.446,1.08,-2.48,0.014336918,0.1,,0.2,,0.039300002
ACH,5.8,5.79,5.617214,5.81,5.8,6.39,5.79,1.242771,5.73,17.815386,,5.73,6.21,9.07,4.6,5.78,5.81,,0.001,13.125,0.0001,0.01324,0.325,0.44114286,,0.41,-0.981,,5.79,,,-0.01,,,,,,,
USEG,4.85,4.9,4.850143,5.14,4.85,5.4265714,4.9,0.926421,4.65,,1.7678075,4.65,5.05,9.55,2.44,4.67,5.14,1.959,-1.14726,3.999,0.0238,0.01929,-3.631,1.2503126,0.49423,0.14,,0.0452,4.9,-13.157895,-9.806,-0.38,,,,,,,
NNVC,4.35,4.31,6.4660716,4.48,4.35,4.9454284,4.31,0.653846,4.25,,,4.25,4.51,19.2,1.27,4.4,4.48,,,1.865,0.0463,0.19663,-3.106,2.310992,0.14968,1.32,,0.0517,4.31,-22.68421,-4.061,-0.19,,,,,,,
SPH,13.78,13.83,14.0955,14.21,13.78,13.256286,13.83,1.037346,13.73,17.193628,0.78279227,13.73,14.08,24.45,8.64,14.04,14.21,1.942,0.045679998,6.795,0.0094,0.33016998,0.816,2.0647535,0.0137,1.72,,0.012200001,13.83,12.2,8.692,1.15,4.05,0.15239477,2.1,2.9629998,1.2,12.32,0.0871
CRK,4.92,4.95,5.57,5.14,4.92,5.6691427,4.95,2.258443,4.92,104.28572,1.3513031,4.92,5.14,9.5,4.05,5.01,5.14,4.225,0.060760003,5.665,0.017,0.02992,0.049,0.90203005,0.90116996,1.69,,0.0636,4.95,,5.948,0.73,1.29,0.025406504,0.125,,,,
ICL,3.6,3.56,3.3577857,3.61,3.6,3.6185715,3.56,0.469703,3.56,65.09091,0.91372764,3.56,3.59,5.03,2.68,3.6,3.61,1.4,0.01413,2.907,0.0005,0.100880004,0.055,1.23151,0.50806,2.83,,0.001,3.56,12.785714,11.424,0.28,4.39,0.03305556,0.119,2.4667,0.11,4.05,0.0311
PRTK,6.53,6.53,4.460643,6.72,6.53,4.8105717,6.53,1.510033,6.21,,10.072349,6.21,6.75,6.72,2.5,6.61,6.72,11.126,,-1.401,0.082100004,0.54846,-2.919,,0.09806,10.4,,0.086,6.53,-9.557143,,-0.7,0.03,,,,,,
GSL,5.4101,5.58,4.516143,6.05,5.4101,5.3622856,5.58,1.812709,5.51,8.272471,0.38418335,5.51,6.03,9.25,2.61,5.87,6.05,3.097,0.12809,23.679,0.0007,0.45384,0.712,0.2487436,0.35679,0.33,0.48,0.0013,5.58,3.6134968,5.437,1.63,0.41,,,0.48400003,,,
ITUB,4.51,4.4,4.6885715,4.42,4.51,4.5305715,4.4,1.0366,4.2,6.625,,4.2,4.42,9.4,3.48,4.25,4.42,,0.27161,3.52,0.0011,0.25059998,0.64,1.2045454,0.00132,0.33,-0.736,,4.4,8.48,,0.5,1.21,0.08514412,0.384,0.42360002,0.17,1.63,0.0368
RBBN,4.41,4.47,3.7514286,4.51,4.41,4.3757143,4.47,0.879598,4.09,,0.91256315,4.09,4.21,5.93,1.95,4.2,4.51,1.466,-0.28496,3.768,0.0175,0.62973,-1.567,1.1133229,0.19506,7.84,,0.0373,4.47,9.755815,18.792,0.43,1.27,,,,,,
RELV,3.16,3.16,3.4668572,3.29,3.16,3.474857,3.16,0.042363,3.16,,0.15498704,3.16,3.3,7.75,2.6,3.12,3.29,0.132,-0.0060799997,6.591,0.0023999999,0.08765,-0.124,0.47944167,0.30671,0.44,,0.0036000002,3.16,,10.925,,,,,,,,
SNCR,3.74,3.78,3.436,3.86,3.74,3.9505713,3.78,1.0301,3.61,,0.5754395,3.61,,6.51,2.17,3.61,3.86,1.43,-0.24150999,1.468,0.1338,0.57056,-2.589,2.5408719,0.21798,7.3,,0.2067,3.78,-6.016129,-11.873,-0.62,-1.87,,,,,,
STNG,13.24,13.25,15.827143,13.25,13.24,12.547429,13.25,0.880156,12.78,4.405211,0.7887291,12.78,12.86,40.45,10.82,12.85,13.25,3.762,0.16420001,39.63,0.1187,0.58611,2.917,0.3242493,0.25154,3.82,,0.12550001,13.25,5.2663937,7.245,2.44,-0.02,0.030211482,0.4,0.15630001,0.4,4.78,0.030199999
PLX,3.505,3.47,3.3591428,3.69,3.505,3.6051428,3.47,2.924191,3.5,,1.8802243,3.5,3.68,4.87,1.7,3.61,3.69,2.124,-0.08901,-1.072,0.0150999995,0.107259996,-0.331,,0.17659001,2.41,,0.0153,3.47,2.7709925,29.506,1.31,-0.34,,,,,,
BBBY,12.73,12.85,8.565143,12.98,12.73,12.089143,12.85,2.554626,12.395,,0.16001022,12.395,12.61,17.79,3.43,12.58,12.98,0.456,-0.05509,11.747,0.5502,1.1455001,-4.418,1.0692092,0.05071,10.6,,0.72470003,12.85,-78.50001,-54.537,-0.16,-0.08,0.040062845,0.51,,0.68,,0.17940001
EFOI,7.82,7.94,20500.037,8.13,7.82,7.817143,7.94,3.04738,7.93,,1.9132527,7.93,8.09,139062.5,4.28,7.71,8.13,1.965,-0.52602,0.533,0.1192,0.102419995,-2.545,15.028143,0.1999,3.48,,0.134,7.94,-11.125,-6.546,-0.72,-0.12,,,,,,
CS,10.98,10.79,9.653286,10.825,10.98,11.016571,10.79,1.604216,10.61,,,10.61,10.7,14.12,6.47,10.69,10.825,,0.18787001,16.894,0.0018000001,0.02812,-0.141,0.6321772,,2.39,0.24,,10.79,6.802548,,1.57,,0.02295082,0.252,0.084300004,0.14,3.42,0.012999999
GORO,3.73,3.73,3.8887858,3.75,3.73,4.0874286,3.73,1.918617,3.63,,2.0066032,3.63,3.7,6.24,2.02,3.65,3.75,2.014,-0.01386,2.348,0.0471,0.44192,-0.027,1.5672913,0.0309,2.63,,0.048699997,3.73,,8.57,0.16,,0.009383378,0.035,,0.04,1.25,0.010299999
PBI,5.59,5.66,3.3228571,5.84,5.59,5.614,5.66,3.029542,5.525,,0.29828635,5.525,5.62,7.16,1.67,5.57,5.84,0.863,-0.01175,0.26,0.1353,0.80816,-0.225,21.576925,0.00656,3.61,,0.1816,5.66,11.448979,8.327,0.49,-0.93,0.035778176,0.2,,0.2,6.58,0.0357
PBR,8.58,8.41,7.743643,8.4754,8.58,8.520572,8.41,1.936152,8.15,,,8.15,8.23,16.84,4.01,8.21,8.4754,,-0.11672,,0.0046,0.14616,,,0.00051,1.65,,,8.41,11.898551,,0.69,1.11,,,,0.35,,0.042
CHCI,2.29,2.32,2.3235714,2.334,2.29,2.790857,2.32,0.88127,2.28,8.382353,0.64564645,2.28,2.52,6.26,1.06,2.29,2.334,0.98,0.07757,0.391,0.0026,0.02405,0.272,5.831202,0.71873003,0.14,,0.0097,2.32,,7.728,,,,,,,,
NAVB,2.79,2.79,2.471357,2.94,2.79,3.3245714,2.79,1.844481,2.79,,98.75538,2.79,2.89,5.36,0.6,2.95,2.94,97.037,,-0.096,0.0086,0.03566,-0.55,,0.49207002,0.48,,0.0124,2.79,-9.8,-7.065,-0.3,,,,,,,
DB,9.24,9.12,8.283215,9.19,9.24,9.415143,9.12,1.513855,9.0399,,,9.0399,9.44,11.16,4.99,9.09,9.19,,-0.109589994,37.942,0.026700001,0.35033,-1.123,0.23957619,0.10943,19.76,,0.027,9.12,22.170732,,0.41,-1.45,0.013852815,0.128,,,,
BRFS,4.12,4.07,3.8349285,4.17,4.12,3.8525715,4.07,1.008133,3.88,,,3.88,3.9,9.78,2.27,3.86,4.17,,0.03446,2.798,0.0034999999,0.11469,-1.025,1.3867048,,1.11,-0.059,,4.07,14.923078,,0.26,-1.84,0.06383496,0.263,,,,
CRNT,2.41,2.5,2.113,2.5,2.41,2.41,2.5,2.083612,2.36,,0.75022066,2.36,2.55,3.19,0.99,2.4,2.5,0.597,-0.06217,1.819,0.0063,0.15182,-0.202,1.3304013,0.24254999,1.11,,0.0081,2.5,30.250002,77.625,0.08,-1.15,,,,,,
THMO,3.57,3.52,5.3696427,3.66,3.57,4.284,3.52,3.265886,3.52,,2.182538,3.52,3.63,14.18,1.63,3.54,3.66,2.095,-1.5479,,0.0343,0.040700004,,,0.121020004,0.42,,0.052800003,3.52,,-3.07,,,,,,,,
CAAS,3.2,3.2571,2.3174286,3.2736,3.2,2.8302858,3.2571,1.515607,3.1501,52.786884,0.2689538,3.1501,3.21,4.16,1.43,3.17,3.2736,0.28,0.00514,8.982,0.00090000004,0.03063,0.061,0.35849476,0.6287,0.14,,0.0025,3.2571,7.488372,6.211,0.43,,,,,,,
BLU,2.39,2.42,7.0647144,2.49,2.39,2.5291429,2.42,-0.732558,2.385,,7151.205,2.385,2.45,12.03,2.17,2.4,2.49,3202.135,,,0.0241,0.54212004,,,0.27731,0.92,,,2.42,,,,,,,,,,
GENE,3.83,3.77,2.775,3.79,3.83,3.9731429,3.77,1.278915,3.65,,,3.65,3.78,10.3,1.41,3.74,3.79,,,0.15,0.0067000003,0.01985,-0.3,24.866665,0.025969999,0.01,,,3.77,,,,,,,,,,
GURE,4.99,4.9,4.7702856,,4.99,5.4537144,4.9,0.758082,4.31,,4.456026,4.31,4.94,6.42,2.25,4.9,,-3.098,-2.47882,26.586,0.00059999997,0.06444,-2.726,0.18430753,0.42876,0.33,,0.001,4.9,,1.766,,,,,,,,
EDSA,7.38,7.4,4.4392858,7.83,7.38,7.463714,7.4,,7.392,,83.21631,7.392,,19.1,1.58,7.32,7.83,76.343,,0.564,0.0111,0.2489,-0.726,13.723404,0.4677,0.19,,0.0234,7.4,,-11.393,,,,,,,,
BVN,12.13,12.15,9.661786,12.28,12.13,13.065143,12.15,1.098104,11.83,,4.5576706,11.83,12.23,15.94,5.12,11.77,12.28,5.535,-0.22017999,10.642,0.021,0.66386,-0.576,1.1539184,,2.64,,,12.15,18.60606,43.789,0.66,-7.31,,,,0.09,,0.0121
GIGM,2.855,2.86,2.6479285,2.92,2.855,2.7985713,2.86,0.238573,2.86,,4.6524467,2.86,2.88,3.75,1.91,2.42,2.92,-3.569,-0.17811,4.963,0.0014,0.07116,-0.11,0.5802942,0.35851002,0.97,,0.0019,2.86,,12.964,,,,,,,,
CLNE,2.56,2.61,2.2105,2.825,2.56,2.7037144,2.61,1.492196,2.55,17.564102,1.650832,2.55,2.77,3.75,1.05,2.68,2.825,1.415,0.093310006,2.594,0.0150999995,0.2901,0.156,1.0562837,0.33326998,1.5,,0.023599999,2.61,-45.666668,7.133,-0.06,-4.27,,,,,,
TKC,4.74,4.76,5.1845713,4.76,4.74,5.044,4.76,0.831232,4.7,6.3489933,,4.7,4.76,6.36,4.36,4.7,4.76,,0.12219,5.125,0.00059999997,0.03652,0.745,0.92292684,,0.73,0.831,,4.76,6.661972,,0.71,,0.14767933,0.7,0.3024,0.4,,0.0855
